21.5,19.7,Toyota,Tacoma
24.1,94.5,Toyota,Tacoma
19.2,92.6,Toyota,Tacoma
22.2,94.6,Toyota,Tacoma
17.6,129.6,Toyota,Tacoma
25.6,97.1,Toyota,Tacoma
25.3,4.4,Toyota,Tacoma
22.9,37.2,Toyota,Tacoma
20.4,100.9,Toyota,Tacoma
18,78.6,Toyota,Tacoma
18.1,105,Toyota,Tacoma
16.1,83.1,Toyota,Tacoma
20.6,44.6,Toyota,Tacoma
19.2,138.7,Toyota,Tacoma
23.3,46,Toyota,Tacoma
25.2,126.1,Toyota,Tacoma
21.4,45.1,Toyota,Tacoma
22.2,42.2,Toyota,Tacoma
24.6,30.4,Toyota,Tacoma
22.1,37.1,Toyota,Tacoma
21.5,49.5,Toyota,Tacoma
21.2,47.5,Toyota,Tacoma
21.8,26.4,Toyota,Tacoma
24.9,8.9,Toyota,Tacoma
23.7,35.2,Toyota,Tacoma
15.3,122.2,Toyota,Tacoma
21.2,80.3,Toyota,Tacoma
16.7,137.5,Toyota,Tacoma
17.6,125.2,Toyota,Tacoma
26,9.7,Toyota,Tacoma
25.2,70,Toyota,Tacoma
30,42,Toyota,Tacoma
22.2,47.8,Toyota,Tacoma
28.1,77.6,Toyota,Tacoma
21.9,29.6,Toyota,Tacoma
23.3,114.7,Toyota,Tacoma
,,Toyota,Tacoma
24.8,41,Toyota,Tacoma
17.5,148.8,Toyota,Tacoma
20.9,121.7,Toyota,Tacoma
28.3,84.3,Toyota,Tacoma
18.6,98,Toyota,Tacoma
28.8,48.8,Toyota,Tacoma
26.4,94.4,Toyota,Tacoma
25.5,51.5,Toyota,Tacoma
23.2,76.8,Toyota,Tacoma
20.5,102.5,Toyota,Tacoma
22.1,74.3,Toyota,Tacoma
27.1,38.9,Toyota,Tacoma
27.6,115.5,Toyota,Tacoma
12,74.9,Toyota,Camry
17.9,53,Toyota,Camry
15.7,79.1,Toyota,Camry
12.5,50.1,Toyota,Camry
9.5,62,Toyota,Camry
21.5,4.8,Toyota,Camry
3.5,89.4,Toyota,Camry
22.8,20.8,Toyota,Camry
26.8,4.8,Toyota,Camry
13.6,48.3,Toyota,Camry
19.4,46.5,Toyota,Camry
19.5,3,Toyota,Camry
9,64.1,Toyota,Camry
17.4,8.3,Toyota,Camry
17.8,27.1,Toyota,Camry
17.5,20.3,Toyota,Camry
13.5,68.4,Toyota,Camry
7,86.9,Toyota,Camry
11.6,64.5,Toyota,Camry
7.9,,Toyota,Camry
11.7,65.2,Toyota,Camry
15.6,18.6,Toyota,Camry
5,139.4,Toyota,Camry
21,13.9,Toyota,Camry
15.6,56.1,Toyota,Camry
17,15.7,Toyota,Camry
16,38.5,Toyota,Camry
17.6,19.8,Toyota,Camry
6.9,119.3,Toyota,Camry
5.5,122.5,Toyota,Camry
9.5,30.9,Chevy,Volt
2.2,42.7,Chevy,Volt
0.3,88.7,Chevy,Volt
12.3,7.4,Chevy,Volt
0.7,54.2,Chevy,Volt
2,56.5,Chevy,Volt
3.5,47.3,Chevy,Volt
4.3,47,Chevy,Volt
3.6,68.7,Chevy,Volt
1.8,58.5,Chevy,Volt
7.8,13,Chevy,Volt
10.7,26.9,Chevy,Volt
11.6,7.1,Chevy,Volt
3,34.8,Chevy,Volt
2.7,70.2,Chevy,Volt
0.5,65.1,Chevy,Volt